group,students,verwaltungskreis,gemeinde
3,427,Verwaltungskreis Biel/Bienne,Lengnau (BE)
8,219,Verwaltungskreis Obersimmental-Saanen,Lenk
9,87,Verwaltungskreis Seeland,Leuzigen
2,34,Verwaltungskreis Bern-Mittelland,Limpach
2,151,Verwaltungskreis Bern-Mittelland,Linden
7,345,Verwaltungskreis Oberaargau,Lotzwil
1,20,Arrondissement administratif Jura bernois,Loveresse
9,39,Verwaltungskreis Seeland,Lüscherz
6,20,Verwaltungskreis Interlaken-Oberhasli,Lütschental
4,444,Verwaltungskreis Emmental,Lützelflüh
9,1453,Verwaltungskreis Seeland,Lyss
4,126,Verwaltungskreis Emmental,Lyssach
7,416,Verwaltungskreis Oberaargau,Madiswil
1,364,Arrondissement administratif Jura bernois,Malleray
6,311,Verwaltungskreis Interlaken-Oberhasli,Matten bei Interlaken
2,38,Verwaltungskreis Bern-Mittelland,Mattstetten
2,183,Verwaltungskreis Bern-Mittelland,Meikirch
3,120,Verwaltungskreis Biel/Bienne,Meinisberg
6,563,Verwaltungskreis Interlaken-Oberhasli,Meiringen
7,190,Verwaltungskreis Oberaargau,Melchnau
2,82,Verwaltungskreis Bern-Mittelland,Mirchel
1,17,Arrondissement administratif Jura bernois,Monible
1,17,Arrondissement administratif Jura bernois,Mont-Tramelan
2,378,Verwaltungskreis Bern-Mittelland,Moosseedorf
3,76,Verwaltungskreis Biel/Bienne,Mörigen
1,943,Arrondissement administratif Jura bernois,Moutier
2,266,Verwaltungskreis Bern-Mittelland,Mühleberg
2,13,Verwaltungskreis Bern-Mittelland,Mühledorf (BE)
2,144,Verwaltungskreis Bern-Mittelland,Mühlethurnen
2,12,Verwaltungskreis Bern-Mittelland,Mülchi
2,1113,Verwaltungskreis Bern-Mittelland,Münchenbuchsee
2,31,Verwaltungskreis Bern-Mittelland,Münchenwiler
2,14,Verwaltungskreis Bern-Mittelland,Münchringen
2,1330,Verwaltungskreis Bern-Mittelland,Münsingen
9,79,Verwaltungskreis Seeland,Müntschemier
2,1237,Verwaltungskreis Bern-Mittelland,Muri bei Bern
2,587,Verwaltungskreis Bern-Mittelland,Neuenegg
3,796,Verwaltungskreis Biel/Bienne,Nidau
7,451,Verwaltungskreis Oberaargau,Niederbipp
2,67,Verwaltungskreis Bern-Mittelland,Niederhünigen
