id	students	womens	foreigners	languages
301	657	0.477929985	0.095890411	0.112633181
302	93	0.387096774	0.075268817	0.075268817
303	226	0.508849558	0.075221239	0.088495575
304	144	0.479166667	0.104166667	0.104166667
305	139	0.446043165	0.057553957	0.007194245
306	1453	0.485891259	0.203028217	0.197522368
307	183	0.50273224	0.076502732	0.06557377
309	65	0.538461538	0	0
310	387	0.496124031	0.03875969	0.069767442
311	382	0.492146597	0.062827225	0.018324607
312	241	0.489626556	0.049792531	0.049792531
321	504	0.490079365	0.14484127	0.198412698
322	16	0.3125	0	0
323	60	0.416666667	0.033333333	0.066666667
326	68	0.558823529	0.058823529	0.014705882
329	1809	0.478717523	0.232725263	0.353233831
331	345	0.455072464	0.162318841	0.124637681
332	416	0.512019231	0.026442308	0.040865385
333	190	0.436842105	0.147368421	0.131578947
334	47	0.468085106	0	0
336	19	0.421052632	0	0
337	460	0.495652174	0.132608696	0.123913043
338	164	0.512195122	0.097560976	0.109756098
339	46	0.413043478	0	0.043478261
341	67	0.417910448	0.014925373	0.626865672
342	318	0.487421384	0.201257862	0.355345912
344	103	0.495145631	0	0
345	108	0.407407407	0.342592593	0.435185185
351	11021	0.489338536	0.201161419	0.316849651
352	660	0.48030303	0.072727273	0.074242424
353	409	0.471882641	0.085574572	0.117359413
354	186	0.510752688	0.016129032	0.048387097
355	3779	0.491929082	0.170415454	0.330775337
356	1237	0.484236055	0.261115602	0.35004042
357	64	0.453125	0.03125	0.0625
358	267	0.498127341	0.086142322	0.146067416
359	468	0.519230769	0.044871795	0.004273504
360	967	0.505687694	0.07549121	0.130299897
361	1027	0.486854917	0.302823759	0.421616358
362	1195	0.477824268	0.258577406	0.348117155
363	1372	0.476676385	0.364431487	0.583090379
371	5772	0.499306999	0.339050589	0.452529453
372	245	0.46122449	0.089795918	0.032653061
